month,year,month_num,dewpoint_2m_c,temperature_2m_c,skin_temperature_c,soil_temperature_layer_1_c,soil_temperature_layer_2_c,soil_temperature_layer_3_c,soil_temperature_layer_4_c
1950-01-01,1950,1,16.68564326944255,20.762312602474083,21.07766237550169,21.661654397819632,21.679956532644894,21.83522519057118,22.45846841045909
1950-02-01,1950,2,15.781275847934637,21.051057165231043,21.518683583043753,22.132758051096346,22.062957156666016,21.964047893622762,22.21606105006856
1950-03-01,1950,3,17.330138768231222,23.197593541993,23.83888596166554,24.374884181369907,24.100145681406616,23.304599211714503,22.380270378572845
1950-04-01,1950,4,16.499825679387754,23.66160029304524,24.452372542152034,25.059721576448737,24.75223095206053,24.059085893145607,22.955560900181126
1950-05-01,1950,5,19.011177166944037,24.804520826705698,25.50173712650502,26.15437663652608,25.94116405944112,25.252761675925058,23.687375004588432
1950-06-01,1950,6,20.11232900597105,23.300547280307853,23.6838620179131,24.44995465140471,24.521240463794584,24.615165205009305,24.22365273376323
1950-07-01,1950,7,19.68238914447926,23.01796779408528,23.304977371586233,24.002890150866335,23.99058982233754,24.036732018096643,24.194166970010315
1950-08-01,1950,8,19.953800105227117,23.250680458349677,23.653126682409948,24.370907384861994,24.35955608848866,24.277649298588017,24.167022432642455
1950-09-01,1950,9,20.582794108200403,23.20200355906178,23.57901633314168,24.263621823304163,24.265974520666134,24.304096018194514,24.239210054999546
1950-10-01,1950,10,19.499498182997286,21.813657842171608,22.008986019173392,22.74105210270659,22.912496367524,23.392492322092835,24.0687329847176
1950-11-01,1950,11,16.399569532473606,20.230367078908102,20.372036702537685,21.16530484503477,21.447617439861517,22.235121416466825,23.47034144509837
1950-12-01,1950,12,14.85020628640126,19.766597203528818,19.92962043302174,20.589263165622583,20.695612695465456,21.216013827880317,22.666105710405247
1951-01-01,1951,1,15.04790972035289,20.522339574564455,20.88052197533284,21.480529966780068,21.48120331312407,21.55918129343678,22.103875469545358
1951-02-01,1951,2,14.198655945636744,20.31872992579042,20.849240812512278,21.49337803445576,21.46182348001912,21.478947927882757,21.838264808266445
1951-03-01,1951,3,15.950673308107412,22.989943815155186,23.71364698298015,24.256902698585577,23.944498098876807,23.081438429913874,22.048351352963493
